ZIP Code,Postal City 1,Postal City 2,Postal City 3,Not Acceptable 1,Not Acceptable 2,Not Acceptable 3,Location
90220,Compton,Rancho Dominguez,,,,,"90220(33.885730876000025, -118.23452680099996)"
90221,Compton,East Rancho Dominguez,,,,,"90221(33.895602729000075, -118.20563685899998)"
90222,Compton,,,,,,"90222(33.912031194000065, -118.23502647699996)"
90224,Compton,Rancho Dominguez,,,,,"90224(33.89040175700006, -118.21614742799994)"
90230,Culver City,Los Angeles,,,,,"90230(33.99506425000004, -118.39500957899998)"
90232,Culver City,,,,,,"90232(34.01970043100005, -118.39595678999996)"
90240,Downey,,,,,,"90240(33.95620252000003, -118.11982734599997)"
90241,Downey,,,,,,"90241(33.94049098000005, -118.13166748599997)"
90242,Downey,,,,,,"90242(33.922033397000064, -118.14007941599999)"
90245,El Segundo,,,,,,"90245(33.92015201000004, -118.40580691799994)"
90247,Gardena,,,,,,"90247(33.89189209400007, -118.29849831699994)"
90248,Gardena,,,,,,"90248(33.875441903000024, -118.28237834699996)"
90249,Gardena,,,,,,"90249(33.90050389500004, -118.319137093)"
90250,Hawthorne,,,,,,"90250(33.914151557000025, -118.34715803399996)"
90254,Hermosa Beach,,,,,,"90254(33.86430130900004, -118.39718642699995)"
90255,Huntington Park,Walnut Park,,,,,"90255(33.97867054400007, -118.21899775099996)"
90260,Lawndale,,,,,,"90260(33.88913301500003, -118.35229817499999)"
90261,Lawndale,,,,,,"90261(33.89567224900003, -118.37869842799995)"
90262,Lynwood,,,,,,"90262(33.925122696000074, -118.20319931099999)"
90263,Malibu,,,,,,"90263(34.03476022000007, -118.70434790099995)"
90265,Malibu,,,,,,"90265(34.035060025000064, -118.76029853699998)"
90266,Manhattan Beach,,,,,,"90266(33.89004112200007, -118.40324770999996)"
90270,Maywood,Bell Gardens,,,,,"90270(33.98850329100003, -118.18894769299999)"
90272,Pacific Palisades,,,,,,"90272(34.04886410800003, -118.53572692699998)"
90274,Palos Verdes Peninsula,Palos Verdes Estates,Rolling Hills,,,,"90274(33.77664082300004, -118.37785984199996)"
90275,Rancho Palos Verdes,Palos Verdes Estates,Rolling Hills Estates,,,,"90275(33.76310178600005, -118.36665841799999)"
90277,Redondo Beach,,,,,,"90277(33.83272180900008, -118.38547663699995)"
90278,Redondo Beach,,,,,,"90278(33.87141408300005, -118.37072968799998)"
90280,South Gate,,,,,,"90280(33.94496199100007, -118.19748997399995)"
90290,Topanga,,,,,,"90290(34.10128225400007, -118.60494720999998)"
90291,Venice,,,,,,"90291(33.99258325100004, -118.46637629399999)"
90292,Marina Del Rey,,,,,,"90292(33.98163383800005, -118.45110794499999)"
90293,Playa Del Rey,,,,,,"90293(33.95744084700004, -118.43916786999995)"
90295,Marina Del Rey,,,,,,"90295(33.988120931000026, -118.46967849899994)"
90296,Playa Del Rey,,,,,,"90296(33.988120931000026, -118.46967849899994)"
90301,Inglewood,,,,,,"90301(33.956363286000055, -118.35484869299995)"
90302,Inglewood,,,,,,"90302(33.97375199800007, -118.35768598199996)"
90303,Inglewood,,,,,,"90303(33.93778404200003, -118.33125965799996)"
90304,Inglewood,Lennox,,,,,"90304(33.939383004000035, -118.35812917199996)"
90305,Inglewood,,,,,,"90305(33.958092598000064, -118.32920881599995)"
90401,Santa Monica,,,,,,"90401(34.01760179300004, -118.49296772799994)"
90402,Santa Monica,,,,,,"90402(34.03254426700005, -118.50584632399995)"
90403,Santa Monica,,,,,,"90403(34.02842085700007, -118.49353692399995)"
90404,Santa Monica,,,,,,"90404(34.02784297100004, -118.47471870499999)"
90405,Santa Monica,,,,,,"90405(34.01013272900008, -118.47267655199994)"
90501,Torrance,,,,,,"90501(33.82909372900008, -118.31420985699998)"
90502,Torrance,,,,,,"90502(33.83163121300004, -118.29281939499998)"
90503,Torrance,,,,,,"90503(33.83995189800004, -118.35390582699995)"
90504,Torrance,,,,,,"90504(33.87165305800005, -118.33125965799996)"
90505,Torrance,,,,,,"90505(33.81145300700007, -118.34787930399995)"
90506,Torrance,,,,,,"90506(33.88535286100006, -118.32659746799999)"
90601,Whittier,City of Industry,,,,,"90601(33.995472680000034, -118.04046581999995)"
90602,Whittier,,,,,,"90602(33.97114064900006, -118.03505628799996)"
90603,Whittier,,,,,,"90603(33.94370194000004, -117.99197990399995)"
90604,Whittier,,,,,,"90604(33.92973274700006, -118.01361803099996)"
90605,Whittier,,,,,,"90605(33.94588313200006, -118.03256659999994)"
90606,Whittier,,,Los Nietos,,,"90606(33.976393761000054, -118.06602748799997)"
90610,Whittier,,,Los Nietos,,,"90610(33.96546172700005, -118.06968598199995)"
90620,Buena Park,,,,,,"90620(33.842780497000035, -118.01234928999997)"
90621,Buena Park,,,,,,"90621(33.870371282000065, -117.99698969499997)"
90623,La Palma,Buena Park,,,,,"90623(33.849641260000055, -118.03998786999995)"
90630,Cypress,,,,,,"90630(33.82014301800007, -118.03980972399995)"
90631,La Habra,La Habra Heights,,,,,"90631(33.93180096900005, -117.95265760399997)"
90638,La Mirada,,,,,,"90638(33.90267205300006, -118.00708748799997)"
90639,La Mirada,,,,,,"90639(33.90554410100003, -118.01801952199997)"
90640,Montebello,,,,,,"90640(34.01403019900005, -118.11318817699998)"
90650,Norwalk,,,,,,"90650(33.90621323200003, -118.08194758799999)"
90660,Pico Rivera,,,,,,"90660(33.991331890000026, -118.09123720999997)"
90670,Santa Fe Springs,,,,,,"90670(33.93592003500004, -118.06608831799997)"
90701,Artesia,,,,,,"90701(33.86631304700006, -118.08104817199995)"
90703,Cerritos,,,,,,"90703(33.86693003700003, -118.06904726699997)"
90704,Avalon,,,Catalina,Santa Catalina,,"90704(33.34416070100008, -118.32659746799999)"
90706,Bellflower,,,,,,"90706(33.88544410600008, -118.12830879699999)"
90710,Harbor City,,,,,,"90710(33.79480294600006, -118.29872860199998)"
90712,Lakewood,,,,,,"90712(33.84907206500003, -118.14617980399998)"
90713,Lakewood,,,,,,"90713(33.84871142900005, -118.11357922799999)"
90715,Lakewood,,,,,,"90715(33.839660783000056, -118.07954914499999)"
90716,Hawaiian Gardens,,,,,,"90716(33.831370512000035, -118.07144570999998)"
90717,Lomita,,,,,,"90717(33.79380359500004, -118.31735998599999)"
90720,Los Alamitos,Cypress,Rossmoor,,,,"90720(33.79895242600003, -118.06819998999998)"
90723,Paramount,,,,,,"90723(33.89537244300004, -118.16535865799995)"
